generation, best seeker, average seeker, best avoider, average avoider
256, 3352, 2582.6875, 4148.6563284817585, 899.1493682031177
257, 3474, 2517.6875, 4721.92294104537, 993.9088623456254
258, 3711, 2598.1875, 4597.331233473998, 868.3721604719658
259, 3623, 2677.9375, 4026.1160193988685, 733.1158735554055
260, 3698, 2548.0, 4696.2126689300385, 781.6831010366791
261, 3837, 2813.25, 4324.299905115839, 670.5210089658226
262, 3859, 2884.375, 3864.875544525946, 633.3320578475019
263, 3568, 2795.625, 4028.0090246300388, 685.9725153875124
264, 3692, 2881.6875, 4109.9519500374245, 534.1917267775237
265, 3561, 2798.5625, 4207.825776087111, 668.2679943424168
266, 3710, 2850.6875, 4092.507557094551, 636.2861831061363
267, 3562, 2818.9375, 4058.6817833723194, 625.0177707806059
268, 3750, 2886.8125, 4197.01542551354, 647.4524123608275
269, 3423, 2518.5625, 4449.891461215597, 999.1066538654384
270, 3677, 2614.1875, 4790.18196670285, 790.5548369923871
271, 3556, 2792.75, 4288.158334958072, 734.4442625981593
272, 3684, 2907.875, 4138.170573421391, 640.4250202092376
273, 2955, 2412.375, 3996.0951550929567, 871.1996452469191
274, 3692, 2783.0, 5025.145138268761, 717.5767640485847
275, 3446, 2742.625, 4407.766479174399, 762.0801628463305
276, 3683, 3107.625, 4591.419581472451, 486.3614884073517
277, 3559, 2937.1875, 4081.0339699530696, 672.1551358071893
278, 3735, 2684.9375, 5029.651478611388, 827.3265923370215
279, 3722, 2953.625, 4207.3857069312235, 557.6989087285455
280, 3665, 2627.6875, 5193.744268947723, 823.0040460672134
281, 3841, 2672.0, 4288.628484790865, 717.5794758911976
282, 3619, 2771.0625, 3951.483646155897, 676.2240207605939
283, 3669, 2885.375, 4291.002989168093, 640.4113534597128
284, 3406, 2547.9375, 5151.36675716217, 924.353196586554
285, 3577, 2737.75, 3948.158854253759, 684.6333814677724
286, 3767, 2720.3125, 4579.2926142876295, 800.6268349988999
287, 3771, 2752.625, 4526.881611071973, 718.5049276732941
288, 3498, 2694.75, 4643.047993522903, 795.4191130444797
289, 3569, 2465.3125, 5613.750204851951, 944.6803022335455
290, 3824, 2558.3125, 5706.91801312162, 1133.4024054226513
291, 3753, 2695.4375, 4112.032422151766, 746.6885292356263
292, 3602, 2780.6875, 4008.792410490541, 640.7715967215219
293, 3779, 2442.125, 4408.246228682727, 807.6718468028164
294, 3756, 2882.4375, 4485.302606998615, 667.3412156362764
295, 3297, 2806.0625, 3890.9660947028383, 692.9708277377805
296, 3692, 2793.375, 4018.572336144547, 675.8223406149863
297, 3756, 2555.5625, 3973.0624849876017, 770.803300106017
298, 3774, 2707.125, 4052.825038264294, 694.4322650323408
299, 3690, 2817.3125, 4919.370231575956, 731.6146807478659
