generation, best seeker, average seeker, best avoider, average avoider
423, 3720, 2761.25, 6880, 837.796875
424, 3733, 2791.75, 6481, 812.84375
425, 3814, 2784.375, 6813, 1142.1875
426, 3804, 2854.125, 6719, 893.296875
427, 3678, 2732.0625, 6809, 1236.171875
428, 3840, 3112.0625, 6518, 692.65625
429, 3887, 2931.4375, 6769, 786.71875
430, 3665, 3017.5, 6581, 655.609375
431, 3633, 2606.75, 6814, 1515.46875
432, 3666, 2765.1875, 6801, 1054.953125
433, 3683, 2675.5, 6899, 1101.34375
434, 3667, 3016.4375, 6315, 831.3125
435, 3662, 2769.1875, 6854, 831.6875
436, 3778, 3093.8125, 6607, 770.375
437, 3758, 3043.5, 6914, 779.21875
438, 3794, 2630.5, 6696, 1459.328125
439, 3709, 3004.125, 6877, 821.109375
440, 3765, 3053.0625, 6582, 427.609375
441, 3618, 3022.75, 6804, 981.5
442, 3550, 2856.5625, 6079, 735.859375
443, 3766, 2938.0625, 6552, 924.21875
444, 3580, 2767.375, 6862, 959.03125
445, 3786, 3117.1875, 6736, 763.609375
446, 3487, 2927.875, 6788, 685.609375
447, 3746, 2907.875, 6850, 906.1875
448, 3776, 2722.75, 6652, 1091.28125
449, 3787, 2585.375, 6018, 988.5
450, 3605, 2849.125, 6812, 677.703125
451, 3729, 2856.9375, 6740, 831.578125
452, 3702, 2526.6875, 6834, 1280.796875
453, 3586, 2717.0, 6824, 1319.703125
454, 3504, 2654.125, 6669, 1155.4375
455, 3764, 2969.5, 6780, 753.984375
456, 3802, 3094.625, 6765, 532.03125
457, 3824, 2709.6875, 6846, 1068.203125
458, 3684, 2714.8125, 6909, 1158.3125
459, 3619, 2554.5, 6756, 1266.0625
460, 3579, 2935.875, 6688, 831.109375
461, 3601, 2634.625, 6775, 1206.78125
462, 3855, 2867.9375, 6659, 739.84375
463, 3772, 2718.25, 6851, 1145.3125
464, 3610, 2946.625, 6735, 857.5
465, 3590, 2715.0, 6761, 1133.78125
466, 3589, 2748.3125, 6482, 917.765625
467, 3521, 2740.5625, 6849, 954.140625
468, 3801, 3142.6875, 6594, 502.296875
469, 3601, 2895.4375, 6630, 771.6875
470, 3654, 2824.3125, 6380, 1041.078125
471, 3810, 2717.9375, 6866, 1044.765625
472, 3682, 2758.3125, 6814, 1161.6875
473, 3665, 2750.625, 6420, 747.046875
474, 3703, 2827.625, 6825, 1171.921875
475, 3721, 2757.25, 6803, 1146.96875
476, 3711, 2884.25, 6859, 873.3125
477, 3754, 2686.25, 6750, 1202.8125
478, 3724, 3155.75, 6015, 601.921875
479, 3878, 2952.0, 6897, 658.984375
480, 3505, 2815.625, 6620, 1084.484375
481, 3806, 2918.1875, 6654, 864.640625
482, 3813, 2795.75, 6696, 1134.21875
483, 3667, 2807.375, 6762, 938.375
484, 3663, 3001.0625, 6595, 753.625
485, 3792, 2976.375, 6670, 877.265625
486, 3881, 2997.9375, 6646, 794.796875
487, 3842, 2953.25, 6495, 842.890625
488, 3745, 2930.6875, 6796, 1082.828125
489, 3654, 2915.3125, 6786, 976.4375
490, 3597, 2863.5625, 6582, 975.140625
491, 3643, 2969.4375, 6496, 764.40625
492, 3557, 2866.9375, 6574, 754.671875
493, 3792, 2870.875, 6892, 945.40625
494, 3770, 2910.3125, 6497, 866.0625
495, 3638, 2862.3125, 6737, 637.015625
496, 3743, 3122.8125, 6271, 608.84375
497, 3730, 3006.125, 6834, 914.6875
498, 3781, 3030.375, 6711, 738.03125
499, 3752, 2705.25, 6743, 1377.6875
500, 3795, 3187.75, 6551, 406.609375
501, 3702, 2844.5, 6401, 966.15625
502, 3580, 2704.3125, 6734, 1034.828125
503, 3657, 2884.0625, 6650, 965.21875
504, 3673, 2988.3125, 6709, 625.984375
505, 3840, 3017.625, 6826, 808.109375
506, 3563, 2597.0, 6758, 1399.515625
507, 3610, 2746.4375, 6756, 1071.34375
508, 3638, 2775.4375, 6766, 1066.859375
509, 3778, 3053.0625, 6699, 853.71875
510, 3769, 3122.875, 6563, 667.25
511, 3829, 2892.5625, 6852, 1021.375
512, 3537, 2745.5, 6787, 1171.296875
513, 3727, 2823.0, 6561, 1033.703125
514, 3683, 2943.9375, 6530, 921.234375
515, 3784, 2698.4375, 6832, 1292.328125
516, 3752, 2979.1875, 6386, 873.40625
517, 3860, 3065.375, 6841, 584.859375
