generation, best seeker, average seeker, best avoider, average avoider
432, 3856, 2851.25, 6817, 979.765625
433, 3678, 2557.3125, 6660, 1332.734375
434, 3792, 3077.75, 6732, 841.875
435, 3731, 2753.875, 6879, 1222.5625
436, 3605, 2908.1875, 6619, 809.015625
437, 3789, 2484.0625, 6794, 1380.984375
438, 3735, 2752.375, 6646, 1172.53125
439, 3506, 2768.125, 6660, 1009.109375
440, 3656, 3005.4375, 6638, 614.0
441, 3669, 2978.8125, 6713, 953.0625
442, 3642, 2854.375, 6554, 960.484375
443, 3809, 2864.375, 6561, 937.640625
444, 3694, 2930.1875, 6604, 889.78125
445, 3656, 2705.75, 6895, 1201.5625
446, 3836, 2924.9375, 6894, 920.609375
447, 3708, 2812.125, 6520, 1053.78125
448, 3704, 2977.1875, 6824, 766.046875
449, 3506, 2668.5625, 6850, 985.84375
450, 3640, 2658.375, 6846, 1176.65625
451, 3555, 2581.6875, 6804, 1398.015625
452, 3865, 2765.6875, 6716, 1050.75
453, 3850, 2719.0, 6650, 1253.90625
454, 3738, 3001.5, 6668, 679.203125
455, 3802, 2957.9375, 6774, 704.125
456, 3734, 3057.625, 6726, 770.453125
457, 3778, 2948.6875, 6772, 763.828125
458, 3539, 2662.6875, 6599, 1075.6875
459, 3548, 2675.3125, 6856, 1228.65625
460, 3685, 2860.0, 6826, 1114.203125
461, 3809, 2731.125, 6782, 845.8125
462, 3723, 3008.125, 6682, 505.0
463, 3748, 2964.0, 6323, 703.296875
464, 3763, 3031.25, 6792, 839.96875
465, 3764, 2729.25, 6486, 1221.65625
466, 3768, 2957.3125, 6585, 857.59375
467, 3746, 2914.5, 6720, 973.0625
468, 3745, 2710.125, 6839, 1026.28125
469, 3786, 2853.625, 6765, 874.734375
470, 3650, 2632.875, 6810, 1162.953125
471, 3777, 2814.4375, 6345, 857.8125
472, 3815, 3063.875, 6642, 820.8125
473, 3679, 3084.25, 6807, 624.625
474, 3732, 2978.875, 6789, 754.625
475, 3807, 2887.5, 6804, 876.984375
476, 3713, 2782.9375, 6607, 1041.3125
477, 3708, 2737.375, 6606, 1079.953125
478, 3684, 2821.8125, 6726, 1136.71875
479, 3690, 2881.6875, 6771, 906.609375
480, 3619, 2438.75, 6439, 1149.453125
481, 3623, 2779.875, 6687, 964.03125
482, 3788, 3049.75, 6630, 478.171875
483, 3790, 2657.375, 6899, 1140.15625
484, 3824, 2968.9375, 6912, 704.453125
485, 3706, 3037.4375, 6759, 674.3125
486, 3484, 2801.9375, 6703, 659.8125
487, 3804, 2645.375, 6772, 1422.78125
488, 3689, 2830.6875, 6866, 775.96875
489, 3652, 3043.0625, 6851, 632.359375
490, 3700, 2762.5, 6740, 1105.15625
491, 3695, 2756.0625, 6857, 1066.4375
492, 3706, 2955.375, 6824, 1019.078125
493, 3498, 2762.4375, 6744, 1156.15625
494, 3706, 3033.6875, 6804, 650.859375
495, 3694, 2873.4375, 6791, 881.046875
496, 3744, 2980.5625, 6734, 938.171875
497, 3800, 3012.9375, 6872, 753.28125
498, 3818, 2953.75, 6766, 783.75
499, 3762, 2967.5, 6621, 761.671875
500, 3715, 2929.75, 6715, 951.203125
501, 3736, 2816.4375, 6856, 1014.578125
502, 3702, 2911.3125, 6405, 748.9375
503, 3541, 2687.1875, 6702, 948.546875
504, 3838, 3019.5, 6747, 730.96875
505, 3753, 2710.25, 6726, 1307.984375
506, 3656, 2838.875, 6840, 1054.09375
507, 3801, 3059.75, 6700, 727.9375
508, 3763, 2961.75, 6752, 787.71875
509, 3531, 2673.25, 6709, 1401.265625
510, 3834, 2802.0625, 6890, 954.921875
511, 3711, 2789.8125, 6778, 775.4375
512, 3838, 2673.375, 6855, 1230.96875
513, 3745, 2748.4375, 6685, 1074.796875
514, 3735, 2664.75, 6578, 1028.359375
515, 3812, 2885.1875, 6774, 1006.828125
516, 3504, 2657.0, 6592, 1301.46875
517, 3710, 2844.375, 6880, 1085.765625
518, 3813, 2849.5, 6811, 858.09375
